1		0,83	1	0,83	Tip cleaner
20		24,12	1	24,12	TLC5490
20		21,74	0	0	TLC5490
20		23,33	0	0	TLC5490
4		3,79	0	0	TLC5490
22		22,29	0	0	TLC5490
2		1,4	0	0	Vero board
1		1,63	0	0	Cutting tool
100		0,67	0	0	Capacitor set 100 nF
100		0,43	0	0	Resistor set
1		0,97	0	0	IC extractor
40		1,61	0	0	Rubber feet
1		0,69	1	0,69	Usb B to Micro adapter
1		6,25	1	6,25	Power button
1		1,54	1	1,54	Power button connector
1		1,22	1	1,22	Usb inlet
1		0,99	1	0,99	Power inlet
1		1,51	1	1,51	Power cable
10		1,71	1	1,71	50mm m3 hex spacers
1		13,61	1	13,61	Solder
1		16,08	0	0	18AWG silicon wire
80		15,63	0	0	Silvered copper wire
30		7,17	0	0	
100		25,49	1	25,49	
50		13,49	1	13,49	
1		5,97	0	0	Dupont crimping kit
10		1,58	1	1,58	IRF9540
1		9,97	0	0	Crimping tool
1		4,21	0	0	Atmega Nano
140		2	0	0	Shrinking tube
500		11,59	1	11,59	RGB LED's
500		10,91	1	10,91	
100		1,99	0	0	
100		2,87	0	0	M3 Spacer set
20		1,37	1	1,37	IC sockets
1		2,7	0	0	Heatsinks
20		2	0	0	Male and female headers
				0	
80		1,49	0	0	M3 spring ring
50		1,29	0	0	M3 ring
50		1,09	0	0	M3 ring
30		2,98	0	0	M3 screw 16mm
				0	
				0	
1		25	1	25	Teensy 3.5
1		18,49	1	18,49	LRS-50-3.3 power
1		18,95	0	0	22awg wire adafruit
				0	
1		172,21	0	0	laserbeest
20		27	1	27	JLCPCB
					Volgende PCB kost 150 per 10 excl verzend en belasting
					
					
					
		533,85			met tools en extra spullen (zonder verkeerd bestelde artikelen)
		361,64			zonder box
		187,39			volgende zonder box
		359,6			volgende met box
		174,25			leergeld
					Soldeerbout 37,95 afschrijving...
